author,paper_id,year,venue
Shoubin Li,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Fanjiang Xu,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Qing Wang,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Zilin Zhao,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Chishui Chen,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Haotian Shi,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Jiale Chen,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Xuanlin Yue,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Zhejian Yang,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Yang Liu,69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)"
Yaqi Xu,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Yan Shi,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Jin Tian,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Fanzeng Xia,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Tongxin Li,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Shanzhi Chen,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Yuming Ge,70,2025,"Not specified (arXiv preprint, eess.SY, 2025)"
Tze-Yang Tung,71,2021,"Not specified (arXiv:2101.10369v2 [eess.SP], 1 Apr 2021; an earlier version was presented at IEEE GLOBECOM, December 2020)"
Szymon Kobus,71,2021,"Not specified (arXiv:2101.10369v2 [eess.SP], 1 Apr 2021; an earlier version was presented at IEEE GLOBECOM, December 2020)"
Joan Pujol Roig,71,2021,"Not specified (arXiv:2101.10369v2 [eess.SP], 1 Apr 2021; an earlier version was presented at IEEE GLOBECOM, December 2020)"
Deniz Gündüz,71,2021,"Not specified (arXiv:2101.10369v2 [eess.SP], 1 Apr 2021; an earlier version was presented at IEEE GLOBECOM, December 2020)"
Tessa van der Heiden,72,2020,"Not specified (arXiv preprint, arXiv:2012.08255, 15 Dec 2020)"
Herke van Hoof,72,2020,"Not specified (arXiv preprint, arXiv:2012.08255, 15 Dec 2020)"
Efstratios Gavves,72,2020,"Not specified (arXiv preprint, arXiv:2012.08255, 15 Dec 2020)"
Christoph Salge,72,2020,"Not specified (arXiv preprint, arXiv:2012.08255, 15 Dec 2020)"
Simin Li,73,2024,ICLR 2024
Jun Guo,73,2024,ICLR 2024
Jingqiao Xiu,73,2024,ICLR 2024
Ruixiao Xu,73,2024,ICLR 2024
Xin Yu,73,2024,ICLR 2024
Jiakai Wang,73,2024,ICLR 2024
Aishan Liu,73,2024,ICLR 2024
Yaodong Yang,73,2024,ICLR 2024
Xianglong Liu,73,2024,ICLR 2024
Kiarash Kazari,74,2026,ICLR 2026
György Dán,74,2026,ICLR 2026
Yihuan Mao,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
Yipeng Kang,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
Peilun Li,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
Ning Zhang,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
Wei Xu,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
Chongjie Zhang,75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024
David Mguni,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Yaqi Sun,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Haojun Chen,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Wanrong Yang,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Amir Darabi,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Larry Olanrewaju Orimoloye,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Yaodong Yang,76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)"
Yuchen Shi,77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)"
Huaxin Pei,77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)"
Liang Feng,77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)"
Yi Zhang,77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)"
Danya Yao,77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)"
Haejoon Lee,78,2026,"Not specified (arXiv preprint, arXiv:2604.02791v1 [cs.MA], 3 Apr 2026)"
Dimitra Panagou,78,2026,"Not specified (arXiv preprint, arXiv:2604.02791v1 [cs.MA], 3 Apr 2026)"
Anonymous authors,79,2026,ICLR 2026 (under review)
Ernests Rudzītis,80,2025,2025 16th IFIP Wireless and Mobile Networking Conference (WMNC) 2025
Alessandro Chiumento,80,2025,2025 16th IFIP Wireless and Mobile Networking Conference (WMNC) 2025
Jie Pan,82,2025,"arXiv preprint 2025 (Preprint submitted to Arxiv, June 14, 2025)"
Tianyi Wang,82,2025,"arXiv preprint 2025 (Preprint submitted to Arxiv, June 14, 2025)"
Christian Claudel,82,2025,"arXiv preprint 2025 (Preprint submitted to Arxiv, June 14, 2025)"
Jing Shi,82,2025,"arXiv preprint 2025 (Preprint submitted to Arxiv, June 14, 2025)"
Pathikkumar D. Patel,83,2025,"M.S. Thesis, The University of Texas at Arlington, May 2025"
Constantin Ruhdorfer,84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)"
Matteo Bortoletto,84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)"
Victor Oei,84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)"
Anna Penzkofer,84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)"
Andreas Bulling,84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)"
Thomy Phan,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Lenz Belzner,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Thomas Gabor,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Andreas Sedlmeier,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Fabian Ritz,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Claudia Linnhoff-Popien,85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence)
Daniel Vial,86,2022,"Proc. ACM Meas. Anal. Comput. Syst. (SIGMETRICS) 2022, Vol. 6, No. 3, Article 53"
Sanjay Shakkottai,86,2022,"Proc. ACM Meas. Anal. Comput. Syst. (SIGMETRICS) 2022, Vol. 6, No. 3, Article 53"
R. Srikant,86,2022,"Proc. ACM Meas. Anal. Comput. Syst. (SIGMETRICS) 2022, Vol. 6, No. 3, Article 53"
Zhenyu Pan,87,,Not specified (arXiv preprint)
Yiting Zhang,87,,Not specified (arXiv preprint)
Yutong Zhang,87,,Not specified (arXiv preprint)
Jianshu Zhang,87,,Not specified (arXiv preprint)
Haozheng Luo,87,,Not specified (arXiv preprint)
Yuwei Han,87,,Not specified (arXiv preprint)
Dennis Wu,87,,Not specified (arXiv preprint)
Hong-Yu Chen,87,,Not specified (arXiv preprint)
Philip S. Yu,87,,Not specified (arXiv preprint)
Manling Li,87,,Not specified (arXiv preprint)
Han Liu,87,,Not specified (arXiv preprint)
Zhenyu Pan,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Yiting Zhang,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Zhuo Liu,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Yolo Yunlong Tang,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Zeliang Zhang,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Haozheng Luo,88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue)
Ziyan Wang,89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)"
Meng Fang,89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)"
Tristan Tomilin,89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)"
Fei Fang,89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)"
Yali Du,89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)"
Liqi Hong,90,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 20, 15 October 2025)"
Shengli Pan,90,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 20, 15 October 2025)"
Fan Feng,90,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 20, 15 October 2025)"
Chengbo Jiao,90,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 20, 15 October 2025)"
Chuanneng Sun,91,2024,"Submitted to IEEE Robotics & Automation Letters, May 2024 (arXiv:2405.11106v1, cs.MA, 17 May 2024)"
Songjun Huang,91,2024,"Submitted to IEEE Robotics & Automation Letters, May 2024 (arXiv:2405.11106v1, cs.MA, 17 May 2024)"
Dario Pompili,91,2024,"Submitted to IEEE Robotics & Automation Letters, May 2024 (arXiv:2405.11106v1, cs.MA, 17 May 2024)"
Yue Jin,92,2026,"AAAI 2026 (Copyright © 2026, AAAI; arXiv preprint dated 10 Nov 2025)"
Giovanni Montana,92,2026,"AAAI 2026 (Copyright © 2026, AAAI; arXiv preprint dated 10 Nov 2025)"
Anonymous authors,93,2025,Under review as a conference paper at ICLR 2025
Shangding Gu,94,2025,ICLR 2025
Laixi Shi,94,2025,ICLR 2025
Muning Wen,94,2025,ICLR 2025
Ming Jin,94,2025,ICLR 2025
Eric Mazumdar,94,2025,ICLR 2025
Yuejie Chi,94,2025,ICLR 2025
Adam Wierman,94,2025,ICLR 2025
Costas Spanos,94,2025,ICLR 2025
Yadong Li,95,2025,"Not specified (arXiv preprint, arXiv:2512.16444v1 [cs.AI], 18 Dec 2025; manuscript formatted for an IEEE journal/LaTeX class)"
Tong Zhang,95,2025,"Not specified (arXiv preprint, arXiv:2512.16444v1 [cs.AI], 18 Dec 2025; manuscript formatted for an IEEE journal/LaTeX class)"
Bo Huang,95,2025,"Not specified (arXiv preprint, arXiv:2512.16444v1 [cs.AI], 18 Dec 2025; manuscript formatted for an IEEE journal/LaTeX class)"
Zhen Cui,95,2025,"Not specified (arXiv preprint, arXiv:2512.16444v1 [cs.AI], 18 Dec 2025; manuscript formatted for an IEEE journal/LaTeX class)"
Zoltán Barta,96,2025,"Intelligent Robotics FAIR 2025 (IntRob '25), June 23–24, 2025, Budapest, Hungary (ACM)"
Balázs Nagy,96,2025,"Intelligent Robotics FAIR 2025 (IntRob '25), June 23–24, 2025, Budapest, Hungary (ACM)"
László Gulyás,96,2025,"Intelligent Robotics FAIR 2025 (IntRob '25), June 23–24, 2025, Budapest, Hungary (ACM)"
Simin Li,97,2025,NeurIPS 2025
Zihao Mao,97,2025,NeurIPS 2025
Hanxiao Li,97,2025,NeurIPS 2025
Zonglei Jing,97,2025,NeurIPS 2025
Zhuohang Bian,97,2025,NeurIPS 2025
Jun Guo,97,2025,NeurIPS 2025
Li Wang,97,2025,NeurIPS 2025
Weifeng Lv,97,2025,NeurIPS 2025
Xianglong Liu,97,2025,NeurIPS 2025
Ziyuan Zhou,98,2023,"Not specified (marked ""Under review""; arXiv preprint, 2023)"
Guanjun Liu,98,2023,"Not specified (marked ""Under review""; arXiv preprint, 2023)"
Jun Guo,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Yonghong Chen,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Yihang Hao,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Zixin Yin,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Yin Yu,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Simin Li,99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122)
Benjamin Ellis,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Jonathan Cook,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Skander Moalla,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Mikayel Samvelyan,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Mingfei Sun,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Anuj Mahajan,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Jakob N. Foerster,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Shimon Whiteson,100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks)
Xuehai Pan,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Mickel Liu,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Fangwei Zhong,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Yaodong Yang,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Song-Chun Zhu,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Yizhou Wang,101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Ruan de Kock,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Omayma Mahjoub,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Sasha Abramowitz,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Wiem Khlifi,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Callum Rhys Tilbury,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Claude Formanek,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Andries Smit,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Arnu Pretorius,102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)"
Harsha Putla,103,2024,Neural Processing Letters 2024 (Vol. 56:161)
Chanakya Patibandla,103,2024,Neural Processing Letters 2024 (Vol. 56:161)
Krishna Pratap Singh,103,2024,Neural Processing Letters 2024 (Vol. 56:161)
P Nagabhushan,103,2024,Neural Processing Letters 2024 (Vol. 56:161)
Chunliang Wu,104,,Not specified (IEEE publication; downloaded from IEEE Xplore)
Zhenliang Ma,104,,Not specified (IEEE publication; downloaded from IEEE Xplore)
Inhi Kim,104,,Not specified (IEEE publication; downloaded from IEEE Xplore)
Aizaz Sharif,105,2022,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS) 2022"
Dusica Marijan,105,2022,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS) 2022"
Zhili Zhang,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
H. M. Sabbir Ahmad,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Ehsan Sabouni,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Yanchao Sun,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Furong Huang,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Wenchao Li,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Fei Miao,106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)"
Keshawn Smith,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Zhili Zhang,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
H M Sabbir Ahmad,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Ehsan Sabouni,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Mainak Mondal,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Song Han,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Wenchao Li,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Fei Miao,107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)"
Fei Miao,108,2025,"NEUTC / USDOT Final Research Report, June 2025"
Song Han,108,2025,"NEUTC / USDOT Final Research Report, June 2025"
Chuyao Wang,110,2025,"IET Radar, Sonar & Navigation 2025 (Vol. 19, e70033)"
Ziwei Wang,110,2025,"IET Radar, Sonar & Navigation 2025 (Vol. 19, e70033)"
Nabil Aouf,110,2025,"IET Radar, Sonar & Navigation 2025 (Vol. 19, e70033)"
Eduardo Candela,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Leandro Parada,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Luis Marques,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Tiberiu-Andrei Georgescu,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Yiannis Demiris,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Panagiotis Angeloudis,111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022
Tianjiao Pu,113,2026,"IEEE Transactions on Industrial Informatics, Vol. 22, No. 1, January 2026"
Shuai Du,113,2026,"IEEE Transactions on Industrial Informatics, Vol. 22, No. 1, January 2026"
Lei Dong,113,2026,"IEEE Transactions on Industrial Informatics, Vol. 22, No. 1, January 2026"
Ji Qiao,113,2026,"IEEE Transactions on Industrial Informatics, Vol. 22, No. 1, January 2026"
Meng Tian,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Xiaoxu Li,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Ziyang Zhu,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Zhengcheng Dong,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Li Gong,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Jingang Lai,114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026"
Chijioke Eze,115,2025,"Preprint submitted to Energy and AI, 2025 (not peer reviewed)"
Chetan Prakash,115,2025,"Preprint submitted to Energy and AI, 2025 (not peer reviewed)"
Antonello Monti,115,2025,"Preprint submitted to Energy and AI, 2025 (not peer reviewed)"
Mian Ibad Ali Shah,116,2025,"ECAI 2025 (European Conference on Artificial Intelligence, Main Track)"
Enda Barrett,116,2025,"ECAI 2025 (European Conference on Artificial Intelligence, Main Track)"
Karl Mason,116,2025,"ECAI 2025 (European Conference on Artificial Intelligence, Main Track)"
Arman Ghasemi,117,2024,"IEEE Internet of Things Journal, Vol. 11, No. 13, 1 July 2024"
Amin Shojaeighadikolaei,117,2024,"IEEE Internet of Things Journal, Vol. 11, No. 13, 1 July 2024"
Morteza Hashemi,117,2024,"IEEE Internet of Things Journal, Vol. 11, No. 13, 1 July 2024"
Hangyue Liu,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
Cuo Zhang,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
Qingmian Chai,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
Ke Meng,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
Qinglai Guo,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
Zhao Yang Dong,118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021"
M. Nasir Uddin,121,2023,"2023 IEEE Industry Applications Society Annual Meeting (IAS), 2023 (DOI: 10.1109/IAS54024.2023.10406423)"
Yazdan H. Tabrizi,121,2023,"2023 IEEE Industry Applications Society Annual Meeting (IAS), 2023 (DOI: 10.1109/IAS54024.2023.10406423)"
Ziqing Zhu,122,2022,"IEEE Transactions on Smart Grid, Vol. 13, No. 4, July 2022"
Ka Wing Chan,122,2022,"IEEE Transactions on Smart Grid, Vol. 13, No. 4, July 2022"
Shiwei Xia,122,2022,"IEEE Transactions on Smart Grid, Vol. 13, No. 4, July 2022"
Siqi Bu,122,2022,"IEEE Transactions on Smart Grid, Vol. 13, No. 4, July 2022"
Shuwei Pei,123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)"
Joran Borger,123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)"
Arda Kosay,123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)"
Muhammed O. Sayin,123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)"
Saeed Ahmed,123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)"
Manuel Augusto Vieira,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Gonçalo Galvão,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Manuela Vieira,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Mário Véstias,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Paula Louro,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Pedro Vieira,124,2025,"Sustainability 2025, 17, 10056 (MDPI)"
Guangyi Liu,126,2025,"Not specified (arXiv preprint, 2025)"
Suzan Iloglu,126,2025,"Not specified (arXiv preprint, 2025)"
Michael Caldara,126,2025,"Not specified (arXiv preprint, 2025)"
Joseph W. Durham,126,2025,"Not specified (arXiv preprint, 2025)"
Michael M. Zavlanos,126,2025,"Not specified (arXiv preprint, 2025)"
Saeed Kaviani,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Bo Ryu,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Ejaz Ahmed,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Kevin Larson,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Anh Le,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Alex Yahja,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Jae H. Kim,127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)"
Saeed Kaviani,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Bo Ryu,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Ejaz Ahmed,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Kevin Larson,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Anh Le,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Alex Yahja,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Jae H. Kim,128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference)
Peng Li,131,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT) (IEEE)
Shaofei Chen,131,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT) (IEEE)
Ao Ma,131,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT) (IEEE)
Jing Chen,131,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT) (IEEE)
Mahfizur Rahman Khan,132,2025,"Drones (MDPI) 2025, Vol. 9, No. 5, Article 321"
Gowtham Raj Veeraswamy Premkumar,132,2025,"Drones (MDPI) 2025, Vol. 9, No. 5, Article 321"
Bryan Van Scoy,132,2025,"Drones (MDPI) 2025, Vol. 9, No. 5, Article 321"
Jonas De Maeyer,133,,Not specified (technical report; arXiv preprint)
Hossein Yarahmadi,133,,Not specified (technical report; arXiv preprint)
Moharram Challenger,133,,Not specified (technical report; arXiv preprint)
Shutong Chen,135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024"
Guanjun Liu,135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024"
Ziyuan Zhou,135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024"
Kaiwen Zhang,135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024"
Jiacun Wang,135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024"
Julian Bialas,136,2023,2023 IEEE International Conference on Robotics and Biomimetics (ROBIO) 2023
Mario Doeller,136,2023,2023 IEEE International Conference on Robotics and Biomimetics (ROBIO) 2023
Robert Kathrein,136,2023,2023 IEEE International Conference on Robotics and Biomimetics (ROBIO) 2023
Shi Li,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Jiong Jin,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Mahbuba Afrin,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Xiaohua Ge,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Jing Fu,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Yu-Chu Tian,137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)"
Dibao Yan,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Yongfeng Wang,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Wenjing Hou,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Huanhuan Song,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Hong Wen,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Wendi Ma,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Fan Sun,138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)"
Weiren Kong,141,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA)
Deyun Zhou,141,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA)
Kai Zhang,141,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA)
Zhen Yang,141,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA)
