paper_id,year,venue,n_authors,authors,affiliation,robustness_type,method_paradigm
51,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 54, No. 12, December 2024",4,Ziyuan Zhou; Guanjun Liu; Weiran Guo; MengChu Zhou,"Department of Computer Science, Tongji University, Shanghai, China; Macao Institute of Systems Engineering and Collaborative Laboratory for Intelligent Science and Systems, Macau University of Science and Technology, Macau, China; Helen and John C. Hartmann Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA","State/observation perturbation (adversarial attacks); dynamic selection of ""critical agents"" as victims in cooperative MADRL","Adversarial attack framework; worst-case joint action search via gradient information (GI/PGD) and differential evolution (DE); SARSA-based joint action-value learning; targeted attacks (PGD, SGLD)"
52,2025,"IET Intelligent Transport Systems 2025 (Vol. 19, e70066)",3,Ahmed Alzubaidi; Ameena S. Al-Sumaiti; Majid Khonji,"Khalifa University, Abu Dhabi, UAE (Al Nokhba Program & Smart OR Lab, Advanced Power and Energy Center, Department of Electrical Engineering; KUCARS Center, Department of Computer Science)",Adversarial agents / environment-manipulation attacks (a malicious adversary vehicle co-exists in the environment with cooperative agents); robustness of cooperative-driving MARL policies to adversarial behavior at deployment,"Adversarial DRL (A-DRL) for attack generation; single-agent A2C-trained adversary policies; adversarial training as defense (homogeneous, heterogeneous, curriculum learning)"
53,,"Not specified (Preprint submitted to Elsevier; not peer reviewed; available at SSRN, abstract 5348784)",2,Xiaofeng Zhao; Dengfeng Sun,"School of Aeronautics and Astronautics, Purdue University, West Lafayette, IN, USA","Adversarial attack on infrastructure-level trajectory prediction (perturbation injected at the prediction-output level of a V2I communication station); bounded, physically-plausible trajectory perturbations used to mislead a prediction-based safety supervisor; used as a robustness/reliability evaluation tool for trajectory planning under uncertainty.",Adversarial MARL; prediction-adversarial Markov decision process (PA-MDP); minimax / worst-case adversarial value function; Bellman contraction; CTDE; action-oriented (action-space-reduction) optimization to defeat the curse of dimensionality; MAPPO-based policy.
54,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)",4,Young Wu; Jeremy McMahan; Xiaojin Zhu; Qiaomin Xie,University of Wisconsin-Madison,Reward poisoning / data poisoning attacks (an exogenous attacker modifies the rewards stored in an offline dataset). This is an attack paper that motivates robustness/defense in offline MARL.,"Game-theoretic equilibrium installation (Markov Perfect Dominant Strategy Equilibrium), optimal attack via convex optimization / linear programming, confidence-bound (uncertainty-aware) backward induction, cost-bound analysis."
55,2025,NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA),1,Brennen A. Hill,"Department of Computer Science, University of Wisconsin-Madison","Adversarial environment generation / automatic curriculum; robustness to an adaptive, self-scaling adversary that procedurally generates challenges to exploit the learning team's current weaknesses (open-ended generalization / robustness via co-evolution).","Adversarial co-evolution / self-play, curriculum learning (learned adversarial procedural content generation), competitive multi-agent game (nearly zero-sum POMG), CTDE with PPO/MAPPO."
56,2025,"Not specified (arXiv preprint, 2025)",4,Isaac Peterson; Christopher Allred; Jacob Morrey; Mario Harper,Utah State University; US DEVCOM Army Research Laboratory (Allred),"Adversarial agents (competitive opponents) in zero-sum multi-agent settings; heterogeneous teaming (different agent counts, morphologies, observations, and actions); training robust policies under adversarial dynamics","Adversarial / self-play training, competitive HAPPO (Heterogeneous-Agent PPO) with team-specific critics, CTDE, curriculum learning, simulation framework engineering"
57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence),9,Lei Yuan; Ziqian Zhang; Ke Xue; Hao Yin; Feng Chen; Cong Guan; Lihe Li; Chao Qian; Yang Yu,"National Key Laboratory for Novel Software Technology, Nanjing University; Polixir Technologies",Action perturbation / malicious action attacks on a limited number of cooperating agents (policy perturbation during testing); robustness of cooperative MARL coordination,Adversarial training; population-based training; Quality-Diversity (evolutionary) generation of attackers; minimax / worst-case optimization; value decomposition (QMIX) as the base solver
58,2022,2022 29th Asia-Pacific Software Engineering Conference (APSEC) 2022,2,Aizaz Sharif; Dusica Marijan,"Simula Research Laboratory, Oslo, Norway",Adversarial agents (an adversarial driving car that creates natural-but-adversarial observations to drive victim autonomous cars into failure states: collisions and offroad steering); robustness against out-of-distribution inputs and adversarial attacks in vision-based autonomous driving.,Adversarial reinforcement learning (ARL); two-step adversarial testing + adversarial retraining; 2-player Markov game with a fixed-victim reduction to a single-player MDP; PPO policy gradient; empirical / engineering-focused.
59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020,5,Jieyu Lin; Kristina Dzeparoska; Sai Qian Zhang; Alberto Leon-Garcia; Nicolas Papernot,University of Toronto; Harvard University; Vector Institute,"State/observation perturbation via adversarial examples; adversarial attack on a single agent's observations in a cooperative team (attack-side study, exposing vulnerability)",Adversarial attack (offensive); two-step attack combining RL-trained adversarial policy + gradient-based targeted adversarial examples; extends FGSM/JSMA
60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence),6,Lebin Yu; Yunbo Qiu; Quanming Yao; Yuan Shen; Xudong Zhang; Jian Wang,"Department of Electronic Engineering, BNRist, Tsinghua University, Beijing, China","Communication attacks (noises and adversarial perturbations on inter-agent messages); a subset of messages can be arbitrarily perturbed/replaced, while observations remain clean.",Active defense; per-message reliability estimation (supervised binary classification); decomposable message aggregation into action preference vectors with adjustable weights; compatible with adversarial training.
61,2023,ICLR 2023,7,Yanchao Sun; Ruijie Zheng; Parisa Hassanzadeh; Yongyuan Liang; Soheil Feizi; Sumitra Ganesh; Furong Huang,"University of Maryland, College Park; JPMorgan AI Research; Shanghai AI Lab",Adversarial communication attacks (test-time arbitrary perturbation of a subset of inter-agent messages); related to sparse / ℓ0 input attacks; also covers natural / unintentional perturbations,Certified robustness via randomized ablation + ensemble (message-ensemble policy with majority vote / coordinate-wise median); provable defense
62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)",5,Ronghui Mu; Wenjie Ruan; Leandro Soriano Marcolino; Gaojie Jin; Qiang Ni,Lancaster University (School of Computing & Communication); University of Exeter (Department of Computer Science); University of Liverpool (Department of Computer Science),State/observation perturbation — l2-norm bounded adversarial perturbation added to each agent's observation at each time step,Certified robustness via randomized/policy smoothing; false discovery rate (FDR) control with multiple-hypothesis-testing correction; tree-search for global reward lower bound
63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems),6,Wanqi Xue; Wei Qiu; Bo An; Zinovi Rabinovich; Svetlana Obraztsova; Chai Kiat Yeo,"Nanyang Technological University, Singapore",Communication attacks (adversarial / malicious messages sent by compromised agents in cooperative MARL); Byzantine failure (agents do not know which peers are malicious),"Adversarial training, learned message attack generation, two-stage message filter (anomaly detection + reconstruction), two-player zero-sum game, game-theoretic equilibrium via Policy-Space Response Oracle (PSRO) / Double Oracle, minimax (MaxMin) defense"
64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024",6,Shifei Ding; Wei Du; Ling Ding; Jian Zhang; Lili Guo; Bo An,"China University of Mining and Technology (School of Computer Science and Technology), Xuzhou, China; Tianjin University (College of Intelligence and Computing); Nanyang Technological University (School of Computer Science and Engineering), Singapore","Communication attacks on GNN-based multi-agent communication — adversarial attacks and noise perturbations on the graph topological structure (adjacency matrix A, edge addition/deletion) and the agent feature embeddings (node features H)",Graph Information Bottleneck (GIB) optimization; information-theoretic regularizers (mutual-information minimization/maximization with variational bounds); graph attention network (GAT) communication; value function decomposition (VDN/QMIX/QPLEX) under CTDE
65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1),6,Lei Yuan; Tao Jiang; Lihe Li; Feng Chen; Zongzhang Zhang; Yang Yu,"National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Polixir.ai",Communication / message perturbations (adversarial attacks on received messages; ℓ∞-norm bounded perturbations on all message channels at any time),"Certified robustness (interval bound propagation), multi-view variational autoencoder (MVAE) with product-of-experts, latent-space perturbation, value decomposition (CTDE), RADIAL-RL-style robust training"
66,2020,NeurIPS 2020,3,Sai Qian Zhang; Jieyu Lin; Qi Zhang,Harvard University; University of Toronto; Microsoft,Communication robustness — transmission loss / packet loss in lossy and bandwidth-limited wireless networking environments (not adversarial); also reduction of redundant inter-agent messages.,Value function decomposition (QMIX/VDN) + learned inter-agent communication; temporal smoothing regularizer; action-confidence regularizer; message buffering protocol with threshold-based transmission.
67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)",9,Zejiao Liu*; Yi Li*; Jiali Wang*; Junqi Tu; Yitian Hong; Fangfei Li†; Yang Liu; Toshiharu Sugawara; Yang Tang†,"East China University of Science and Technology (Department of Mathematics; Key Laboratory of Smart Manufacturing in Energy Chemical Process, Ministry of Education), Shanghai, China; Zhejiang Normal University, China; Waseda University, Tokyo, Japan","Communication-centric perturbations — message perturbations/corruption (noise, loss, jumble, adversarial tampering), observation/state perturbations, transmission delays and asynchrony, limited bandwidth, Byzantine/faulty or non-cooperative agents, spoofing/jamming, privacy leakage. (Survey scope spanning robustness and efficiency of inter-agent communication.)","Survey / taxonomy. Covers reviewed paradigms: randomized smoothing / certified robustness, robust Markov game equilibria, adversarial training, game-theoretic (zero-sum attacker-defender) defenses, information-bottleneck regularization, message filtering/reconstruction, reliability-weighted aggregation, event-triggered / scheduling / gating, delay-aware learning, federated MARL."
68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)",8,Xuyan Ma; Yawen Wang; Junjie Wang; Xiaofei Xie; Boyu Wu; Shoubin Li; Fanjiang Xu; Qing Wang,"State Key Laboratory of Intelligent Game, Beijing; Science and Technology on Integrated Information System Laboratory, Institute of Software, Chinese Academy of Sciences; University of Chinese Academy of Sciences; Singapore Management University",Communication attacks (perturbation/masking of inter-agent communication channels and messages); robustness of multi-agent communication policies against learned adaptive attacks and heuristic attacks.,"Adversarial training; learned adversary that identifies and masks critical communication channels; value-based CTDE (IGM principle, QMIX-style monotonic mixing); graph-based feature extraction; decentralization (anti-centralization) of communication structure."
69,2025,"Not specified (arXiv preprint; supplementary materials reference IROS25; arXiv:2503.02913v1, 4 Mar 2025)",7,Zilin Zhao; Chishui Chen; Haotian Shi; Jiale Chen; Xuanlin Yue; Zhejian Yang; Yang Liu,"Jilin University, Changchun, China (College of Software Engineering; College of Instrumentation and Electrical Engineering; School of Communication Engineering; School of Artificial Intelligence); China University of Mining and Technology, Xuzhou, China",Communication noise / sensor noise (distance-dependent multiplicative attenuation + additive Gaussian white noise on inter-UAV communicated sensor data); robust communication protocol design under noisy environments,"Cooperative MARL with CTDE (COMA / counterfactual policy gradients); attention mechanisms (CBAM, channel/spatial attention); denoising autoencoder-based multi-sensor denoising and fusion network"
70,2025,"Not specified (arXiv preprint, eess.SY, 2025)",7,Yaqi Xu; Yan Shi; Jin Tian; Fanzeng Xia; Tongxin Li; Shanzhi Chen; Yuming Ge,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; The Chinese University of Hong Kong, Shenzhen, China; China Academy of Telecommunication Technology (CATT) / State Key Laboratory of Wireless Mobile Communications, Beijing, China; Key Laboratory of Internet of Vehicle Technical Innovation and Testing (CAICT), Ministry of Industry and Information Technology, Beijing, China",Communication imperfections in V2V networks — time-varying communication delay and packet loss (non-ideal communication); robustness of cooperative platoon control to communication degradation.,Multi-Agent Reinforcement Learning (MARL) under Dec-POMDP; centralized-training decentralized-execution (CTDE) actor-critic with attention critic; dynamic communication topology via multi-key gated communication network; state augmentation for delay compensation; causal-inference-based communication target selection.
71,2021,"Not specified (arXiv:2101.10369v2 [eess.SP], 1 Apr 2021; an earlier version was presented at IEEE GLOBECOM, December 2020)",4,Tze-Yang Tung; Szymon Kobus; Joan Pujol Roig; Deniz Gündüz,"Information Processing and Communications Laboratory (IPC-Lab), Dept. of Electrical and Electronic Engineering, Imperial College London, UK","Communication channel noise (the inter-agent communication link is a noisy channel — BSC, AWGN, and bursty-noise channels — so messages can be corrupted in transit); robustness of the learned communication code/protocol to channel errors.","MA-POMDP formulation with the noisy channel embedded in the environment dynamics; messages treated as part of the action; joint deep RL (DQN, DDPG, REINFORCE, actor-critic) for joint learning-and-communication."
72,2020,"Not specified (arXiv preprint, arXiv:2012.08255, 15 Dec 2020)",4,Tessa van der Heiden; Herke van Hoof; Efstratios Gavves; Christoph Salge,BMW Group; University of Amsterdam; University of Hertfordshire,Robustness to changes in other (partner) agents' behavior; overfitting to training partners in cooperative communication and coordination tasks (non-reactive policies that fail when partners alter their strategies or are replaced by novel partners).,Intrinsic social motivation; information-theoretic empowerment (transfer empowerment / joint empowerment) used as an additional reward term; variational lower-bound estimation of mutual information; actor-critic (DDPG/MADDPG-based) with centralized training and decentralized execution.
73,2024,ICLR 2024,9,Simin Li; Jun Guo; Jingqiao Xiu; Ruixiao Xu; Xin Yu; Jiakai Wang; Aishan Liu; Yaodong Yang; Xianglong Liu,"SKLSDE Lab, Beihang University, China; Zhongguancun Laboratory, China; Institute of Artificial Intelligence, Peking University & BigAI, China; Institute of data space, Hefei Comprehensive National Science Center, China","Byzantine failures / adversarial (and faulty) agents in cooperative MARL — any ally agent can be compromised and take arbitrary, worst-case actions (action perturbation / non-oblivious adversarial policy); also evaluated against random allies and observation-based / transfer-based attacks.","Bayesian game formulation (types assigned by nature), robust Markov perfect Bayesian equilibrium (ex interim vs. ex ante), maximin / worst-case optimization, robust Harsanyi-Bellman equation, two-timescale actor-critic with belief inference."
74,2026,ICLR 2026,2,Kiarash Kazari; György Dán,"KTH Royal Institute of Technology, Stockholm, Sweden","Adversarial agents at deployment / execution time in cooperative MARL (a victim agent compromised via action manipulation or observation corruption), with an adversary whose objective is *unknown* and not necessarily worst-case; uncertainty about the adversarial objective.","Bayesian game (Bayesian Dec-POMDP) with a continuum of adversarial types; perfect Bayesian equilibrium (PBE); type-space partitioning by attack severity; externally constrained RL (log-barrier + PPO, EC-PPO); adversarial training with min-oracle via simultaneous (two-timescale) gradient descent-ascent; belief modeling."
75,2025,Under review of AAMAS 2025 (preprint); arXiv 2024,6,Yihuan Mao; Yipeng Kang; Peilun Li; Ning Zhang; Wei Xu; Chongjie Zhang,Tsinghua University; State Key Laboratory of General Artificial Intelligence (BIGAI); Shanghai Tree-Graph Blockchain Research Institute; Washington University in St. Louis,Communication attacks (adversarial / Byzantine messages); malicious agents with unknown identities (from LLM-agent hallucinations or external attacks); fault tolerance / consensus under attack,"Byzantine consensus protocols (randomized, multi-round broadcast with a global randomizer), partial-consensus protocol design, certified/provable robustness, integration with MARL (QMIX-based learnable communication)"
76,2026,"Not specified (Preprint, arXiv:2508.08800v2, February 2026)",7,David Mguni; Yaqi Sun; Haojun Chen; Wanrong Yang; Amir Darabi; Larry Olanrewaju Orimoloye; Yaodong Yang,Queen Mary University of London; Peking University; University of Liverpool; Snowflake Inc.,"Agent malfunctions / fault tolerance (actuator-level failures where an entire agent temporarily loses control to a fault policy); selectively induced, state-dependent, budget-constrained adversarial faults in cooperative MARL.",Switcher–Adversary mechanism; fault-switching (N+2)-player nonzero-sum Markov game; minimax / worst-case adversarial training; Q-learning with contraction-based convergence; switching control (optimal stopping) with cost/budget constraints; plug-and-play robustness layer.
77,2024,"Not specified (arXiv preprint, arXiv:2412.00534v1, 30 Nov 2024)",5,Yuchen Shi; Huaxin Pei; Liang Feng; Yi Zhang; Danya Yao,"Department of Automation, Tsinghua University, Beijing; QiYuan Lab, Beijing; Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University","Agent faults (system-level faults where a faulty agent loses its ability to observe, communicate, and act; faults occur at random agents and random times), causing chaotic state space and sample imbalance in the replay buffer.","Attention-augmented actor-critic (built on MADDPG/CTDE), special input configuration to flag faults, Prioritized Experience Replay (PER) extension, curriculum-capable platform."
78,2026,"Not specified (arXiv preprint, arXiv:2604.02791v1 [cs.MA], 3 Apr 2026)",2,Haejoon Lee; Dimitra Panagou,"Department of Robotics, University of Michigan, Ann Arbor, MI, USA",Byzantine fault tolerance / communication attacks in distributed cooperative MARL; specifically a Byzantine *edge* attack model where messages on communication links are arbitrarily altered or dropped (rather than fully compromised nodes).,"Consensus-based distributed (QD-)Q-learning with a redundancy-based two-hop message-validation filter; almost-sure convergence analysis; graph-topological condition design ((r, r′)-redundancy)."
79,2026,ICLR 2026 (under review),1,Anonymous authors,Not specified,"Byzantine/fault tolerance in cooperative MARL (a fraction of agents act arbitrarily/maliciously, sending fabricated or adversarially crafted actions/information); action perturbation; worst-case adversary","Belief-based Byzantine detection (probabilistic suspicion over peers), reward machines (RMs) for temporally extended / non-Markovian tasks, tabular Q-learning, two-timescale actor-critic, decentralized consensus, convergence analysis"
80,2025,2025 16th IFIP Wireless and Mobile Networking Conference (WMNC) 2025,2,Ernests Rudzītis; Alessandro Chiumento,"Pervasive Systems Group, EEMCS Faculty, University of Twente, The Netherlands","Communication robustness / unreliable inter-agent communication (stale ""frozen"" messages / replay, persistent offset bias from compromised agents or biased sensors, random Gaussian channel noise); message manipulation / corruption at the receiving end.","Post-hoc trust mechanism, anomaly/outlier detection (Local Outlier Factor), spatio-temporal feature engineering, unsupervised self-configuration, message recovery/reconstruction heuristics (layered onto a pre-trained CTDE MAPPO policy)."
82,2025,"arXiv preprint 2025 (Preprint submitted to Arxiv, June 14, 2025)",4,Jie Pan; Tianyi Wang; Christian Claudel; Jing Shi,"Department of Civil Engineering, Tsinghua University, Beijing, China; Department of Civil, Architectural, and Environmental Engineering, The University of Texas at Austin, Austin, Texas, USA","Behavioral uncertainty of human-driven vehicles (HVs) in heterogeneous traffic; robustness to dynamic demand, varying CAV penetration rates, and traffic densities; (future) robustness against adversarial/deceptive agents exploiting the trust mechanism.","Trust-based MARL (MASAC base learner) + dynamic trust mechanism + trust-triggered game-theoretic decision-making (cooperative / non-cooperative games, Stackelberg + Harsanyi transformation, Nash equilibrium); reward shaping; curriculum learning; LSTM observation encoding."
83,2025,"M.S. Thesis, The University of Texas at Arlington, May 2025",1,Pathikkumar D. Patel,The University of Texas at Arlington (Computer Science and Engineering),Adversarial/deceptive agents and hidden-role partial observability; robustness to environmental shifts (varying population sizes and role distributions); social misinformation / trust manipulation,Symbolic heuristic + probabilistic trust modeling (Agent vA) vs. modular phase-specific Q-learning (Agent vB); self-play; emergent deception
84,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306)",5,Constantin Ruhdorfer; Matteo Bortoletto; Victor Oei; Anna Penzkofer; Andreas Bulling,"Collaborative Artificial Intelligence, University of Stuttgart, Stuttgart, Germany","Robustness to unknown / unseen cooperation partners (ad-hoc teamwork), including human partners, and distribution shift between training and evaluation partner sets; jointly with robustness to unseen procedurally generated environments/levels.","Curriculum learning over partners (learnability-driven selection), unsupervised environment design (UED) extended to partner space, population-free online partner generation, self-play with PPO/IPPO, joint partner-environment curriculum."
85,2021,AAAI 2021 (The Thirty-Fifth AAAI Conference on Artificial Intelligence),6,Thomy Phan; Lenz Belzner; Thomas Gabor; Andreas Sedlmeier; Fabian Ritz; Claudia Linnhoff-Popien,LMU Munich; MaibornWolff,"Agent changes (updates or failures of hardware/software components) in cooperative multi-agent systems; resilience against arbitrary portions of the MAS changing behavior, including unknown adversary/failure agents at test time","Adversarial training (protagonist vs. antagonist teams), value decomposition (VDN-based), CTDE, minimax/zero-sum sub-games, randomized adversary ratio"
86,2022,"Proc. ACM Meas. Anal. Comput. Syst. (SIGMETRICS) 2022, Vol. 6, No. 3, Article 53",3,Daniel Vial; Sanjay Shakkottai; R. Srikant,"University of Texas at Austin (Vial, Shakkottai); University of Illinois Urbana-Champaign (Srikant)","Malicious / adversarial agents in a multi-agent network (Byzantine-style attackers that recommend arbitrary arms / ""review spam"" or failed servers); robustness over general undirected communication graphs.",Multi-agent multi-armed bandits; gossip-based cooperative learning; UCB exploration; refined blocking rule (suspect-and-block defense); coupling to a noisy rumor process; regret analysis.
87,,Not specified (arXiv preprint),11,Zhenyu Pan; Yiting Zhang; Yutong Zhang; Jianshu Zhang; Haozheng Luo; Yuwei Han; Dennis Wu; Hong-Yu Chen; Philip S. Yu; Manling Li; Han Liu,Northwestern University; University of Illinois at Chicago,"Adversarial attacks on LLM/MLLM-based multi-agent systems (MAS): jailbreak, prompt injection (indirect prompt injection), malicious/compromised agents, safety contagion across the interaction graph; single-point-of-failure of external guard modules","Adversarial co-training (attacker–defender co-evolution), evolutionary search (mutation/crossover + fitness selection), parameter-sharing MARL with role-conditioned policies, GRPO (Group Relative Policy Optimization)"
88,2025,arXiv preprint 2025 (Not specified for a peer-reviewed venue),6,Zhenyu Pan; Yiting Zhang; Zhuo Liu; Yolo Yunlong Tang; Zeliang Zhang; Haozheng Luo,Northwestern University; University of Illinois at Chicago; University of Rochester; Carnegie Mellon University,"Safety / adversarial robustness of LLM-based multi-agent systems — jailbreak attacks, prompt injection, agent manipulation, message/communication corruption, user-instruction hijacking, and adversarial collaboration; defenders must resist evolving adversarial agents while preserving task utility.",Adversarial co-evolutionary MARL; minimax (max-defender / min-attacker) game objective; REINFORCE++ policy optimization with a public (group-level mean-return) baseline; attacker SFT warm-up + adversarial RL; internalized (intrinsic) safety rather than external guard modules.
89,2024,"Not specified (arXiv preprint, arXiv:2405.20018v1 [cs.MA], 30 May 2024)",5,Ziyan Wang; Meng Fang; Tristan Tomilin; Fei Fang; Yali Du,King's College London; University of Liverpool; Eindhoven University of Technology; Carnegie Mellon University,"Safety constraints expressed in free-form natural language (constrained multi-agent RL); the ""robustness"" angle is the agents' ability to interpret and adhere to diverse, unseen, context-specific language constraints rather than fixed pre-designed cost functions.","Safe / constrained MARL, Lagrangian constrained policy optimization, language-model-based cost prediction (LLM summarization + BERT embedding + decoder violation check), contrastive learning (triplet loss), CTDE PPO backbones (MAPPO / HAPPO)."
90,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 20, 15 October 2025)",4,Liqi Hong; Shengli Pan; Fan Feng; Chengbo Jiao,"School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China; Guangxi Key Laboratory of Digital Infrastructure, Guangxi Zhuang Autonomous Region Information Center, Nanning, China",Communication attacks — malicious relay nodes performing communication delay injection attacks in edge networks; adversarial nodes degrading channel quality,"Stackelberg game (leader–follower), multiagent reinforcement learning (MARL), decentralized actor–critic / DDPG, game-theoretic equilibrium"
91,2024,"Submitted to IEEE Robotics & Automation Letters, May 2024 (arXiv:2405.11106v1, cs.MA, 17 May 2024)",3,Chuanneng Sun; Songjun Huang; Dario Pompili,"Department of Electrical and Computer Engineering, Rutgers University–New Brunswick, NJ, USA","Survey/position paper; robustness discussed mainly as a forward-looking theme — safety and security in multi-agent systems (communication manipulation/eavesdropping, malicious data injection, adversarial attacks on the language model, model-bias exploitation, agent failure/anomaly detection and rollback). Not a single concrete perturbation model.","Literature survey of LLM-based single-agent RL and LLM-based MARL frameworks; CTDE, value-based / policy-based MARL, learning-to-communicate; proposed future directions (personality-enabled cooperation, human-in/on-the-loop, MARL–LLM co-design via distillation, safety/security with adversarial training and secure communication)."
92,2026,"AAAI 2026 (Copyright © 2026, AAAI; arXiv preprint dated 10 Nov 2025)",2,Yue Jin; Giovanni Montana,"Warwick Manufacturing Group, University of Warwick (Coventry, UK); Department of Statistics, University of Warwick; The Alan Turing Institute (London, UK)",Distribution shift / out-of-distribution (OOD) joint actions in offline MARL (curse of dimensionality in the joint-action space; mismatch between behavior policy μ and learned policy π),"Conservative Q-Learning (CQL) extension, partial action replacement, uncertainty-weighted Bellman backups (Q-ensemble variance), value regularization, contraction-mapping theory"
93,2025,Under review as a conference paper at ICLR 2025,1,Anonymous authors,Not specified (anonymized for double-blind review),"Environment/model uncertainty (transition-kernel perturbations); distributionally robust transition dynamics; each player has its own uncertainty set centered on a nominal kernel, capturing the sim-to-real gap.",Robust two-player zero-sum Markov games (RTZMGs) / distributionally robust optimization (DRO); model-based robust value iteration with lower confidence bounds (pessimism / LCB); minimax game-theoretic equilibrium; finite-sample (sample-complexity) theory.
94,2025,ICLR 2025,8,Shangding Gu; Laixi Shi; Muning Wen; Ming Jin; Eric Mazumdar; Yuejie Chi; Adam Wierman; Costas Spanos,"University of California, Berkeley; California Institute of Technology; Shanghai Jiao Tong University; Virginia Tech; Carnegie Mellon University","Unified coverage of disruptions across all stages of the agent–environment interaction — observed state perturbation, observed reward perturbation, action perturbation, and environment (transition kernel / dynamics) shift; includes random noise, adversarial attack (incl. LLM-driven), internal dynamic shift (sim-to-real), and external disturbance. Spans standard RL, safe RL, and multi-agent RL.","Benchmark / evaluation framework (not a new algorithm). Formalizes a unified ""MDP with disruption"" (Disrupted-MDP) model with three disruptor modules; benchmarks standard, robust, safe, and MARL baselines; features a two-player zero-sum adversarial-disturbance interface, including an LLM-as-adversary."
95,2025,"Not specified (arXiv preprint, arXiv:2512.16444v1 [cs.AI], 18 Dec 2025; manuscript formatted for an IEEE journal/LaTeX class)",4,Yadong Li; Tong Zhang; Bo Huang; Zhen Cui,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Information Science and Engineering, Zaozhuang University, Zaozhuang, China",Adversarial opponents (replacing fixed built-in AI bots with learning/evolving MARL-controlled opponents); opponent non-stationarity and diversity; generalization to unseen opponents; scenario perturbations (symmetric/asymmetric troop layouts),"Benchmark/environment construction (algorithm-vs-algorithm adversary), self-play-style dual-team competition, mixed-opponent training, empirical evaluation of value- and policy-based MARL algorithms"
96,2025,"Intelligent Robotics FAIR 2025 (IntRob '25), June 23–24, 2025, Budapest, Hungary (ACM)",3,Zoltán Barta; Balázs Nagy; László Gulyás,"Department of Artificial Intelligence, ELTE Eötvös Loránd University, Budapest, Hungary",Partial agent failure (sensor degradation modeled as zero-mean Gaussian observation noise applied to a subset of agents); evaluation-time fault injection on perception.,Empirical robustness measurement / fault-injection benchmarking of a standard CTDE algorithm (MAPPO); no specialized robust-training method is proposed.
97,2025,NeurIPS 2025,9,Simin Li; Zihao Mao; Hanxiao Li; Zonglei Jing; Zhuohang Bian; Jun Guo; Li Wang; Weifeng Lv; Xianglong Liu,"State Key Laboratory of Complex & Critical Software Environment, Beihang University, China; Zhongguancun Laboratory; Institute of Artificial Intelligence, Peking University; Institute of Data Space, Hefei Comprehensive National Science Center; Nanyang Technological University, Singapore","Observation uncertainties (Gaussian noise, greedy white-box attacks, learned optimal attacks), action uncertainties (random / greedy worst-case / learned optimal policy deviations), and environment uncertainties (variations in environmental hyperparameters such as mass, velocity); perturbations applied either to all agents or to a single agent. Also studies resilience (recovery from disruptions).","Large-scale empirical benchmark / study (not a new algorithm); evaluation of cooperation, robustness, and resilience; hyperparameter (implementation-choice) analysis; statistical analysis (Pearson correlation, ANOVA, paired t-tests, OLS regression)."
98,2023,"Not specified (marked ""Under review""; arXiv preprint, 2023)",2,Ziyuan Zhou; Guanjun Liu,"Department of Computer Science, Tongji University, Shanghai, China","State/observation perturbation via adversarial attacks; robustness testing of trained cooperative MARL models; targeted attacks on the states of a variable set of ""critical"" victim agents.",Adversarial attack / robustness testing; Differential Evolution (DE) based black-box selection of victims and worst-case joint actions; Sarsa-based joint action-value function for team policy evaluation; FGSM-based targeted observation perturbation.
