src,dst,src_title,dst_title,how
96,28,Measuring Robustness of MARL under Partial Agent Failure,Robust MARL with State Uncertainty,exact
96,59,Measuring Robustness of MARL under Partial Agent Failure,On the Robustness of Cooperative MARL,exact
96,98,Measuring Robustness of MARL under Partial Agent Failure,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
96,99,Measuring Robustness of MARL under Partial Agent Failure,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
97,1,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust MARL with Model Uncertainty,exact
97,2,Empirical Study on Robustness and Resilience in Cooperative MARL,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
97,28,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust MARL with State Uncertainty,exact
97,30,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust MARL via Adversarial Regularization,exact
97,43,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
97,57,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
97,59,Empirical Study on Robustness and Resilience in Cooperative MARL,On the Robustness of Cooperative MARL,exact
97,73,Empirical Study on Robustness and Resilience in Cooperative MARL,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
97,85,Empirical Study on Robustness and Resilience in Cooperative MARL,Resilient MARL with Adversarial Value Decomposition,exact
97,94,Empirical Study on Robustness and Resilience in Cooperative MARL,Robust Gymnasium - Unified Modular Benchmark for Robust RL,exact
97,99,Empirical Study on Robustness and Resilience in Cooperative MARL,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
97,100,Empirical Study on Robustness and Resilience in Cooperative MARL,SMACv2 - Improved Benchmark for Cooperative MARL,exact
98,28,Robustness Testing for MARL - State Perturbations on Critical Agents,Robust MARL with State Uncertainty,fuzzy
98,29,Robustness Testing for MARL - State Perturbations on Critical Agents,What is the Solution for State-Adversarial MARL?,exact
98,34,Robustness Testing for MARL - State Perturbations on Critical Agents,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,exact
98,59,Robustness Testing for MARL - State Perturbations on Critical Agents,On the Robustness of Cooperative MARL,exact
98,99,Robustness Testing for MARL - State Perturbations on Critical Agents,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
99,59,Towards Comprehensive Testing on Robustness of Cooperative MARL,On the Robustness of Cooperative MARL,exact
103,47,A Pilot Study of Observation Poisoning on Selective Reincarnation in MARL,Camouflage Adversarial Attacks on MARL,exact
103,54,A Pilot Study of Observation Poisoning on Selective Reincarnation in MARL,Reward-Poisoning Attacks on Offline MARL,exact
103,59,A Pilot Study of Observation Poisoning on Selective Reincarnation in MARL,On the Robustness of Cooperative MARL,exact
103,99,A Pilot Study of Observation Poisoning on Selective Reincarnation in MARL,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
106,28,Safety-Guaranteed Robust MARL w- Hierarchical Control for CAVs,Robust MARL with State Uncertainty,exact
106,29,Safety-Guaranteed Robust MARL w- Hierarchical Control for CAVs,What is the Solution for State-Adversarial MARL?,exact
106,89,Safety-Guaranteed Robust MARL w- Hierarchical Control for CAVs,Safe MARL with Natural Language Constraints,exact
107,28,Robust & Safe MARL Framework w- Comm for AVs,Robust MARL with State Uncertainty,exact
107,29,Robust & Safe MARL Framework w- Comm for AVs,What is the Solution for State-Adversarial MARL?,exact
107,106,Robust & Safe MARL Framework w- Comm for AVs,Safety-Guaranteed Robust MARL w- Hierarchical Control for CAVs,fuzzy
108,89,5G-Enabled Safe & Robust Deep MARL for CAV,Safe MARL with Natural Language Constraints,exact
110,30,Robust MARL vs Adversarial Attacks for Cooperative Self-Driving,Robust MARL via Adversarial Regularization,fuzzy
110,59,Robust MARL vs Adversarial Attacks for Cooperative Self-Driving,On the Robustness of Cooperative MARL,exact
111,1,Transferring MARL Policies for Autonomous Driving Sim-to-Real,Robust MARL with Model Uncertainty,exact
114,1,Robust Voltage Control via Safe DRL vs State Perturbations,Robust MARL with Model Uncertainty,exact
114,118,Robust Voltage Control via Safe DRL vs State Perturbations,Robust Regional Coordination of Inverter-Based Volt-Var Control,exact
117,28,Combating Uncertainties in Smart Grid - MARL w- Imperfect State Info,Robust MARL with State Uncertainty,exact
117,30,Combating Uncertainties in Smart Grid - MARL w- Imperfect State Info,Robust MARL via Adversarial Regularization,exact
117,31,Combating Uncertainties in Smart Grid - MARL w- Imperfect State Info,MIR2 - Mutual Information Regularization,exact
117,122,Combating Uncertainties in Smart Grid - MARL w- Imperfect State Info,Optimal Bi-Level Bidding-Dispatching via Distributed Robust MA DRL,exact
122,43,Optimal Bi-Level Bidding-Dispatching via Distributed Robust MA DRL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
123,126,Distributionally Robust MARL for Intelligent Traffic Control,Distributionally Robust MARL for Dynamic Chute Mapping,exact
126,1,Distributionally Robust MARL for Dynamic Chute Mapping,Robust MARL with Model Uncertainty,exact
126,2,Distributionally Robust MARL for Dynamic Chute Mapping,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
126,3,Distributionally Robust MARL for Dynamic Chute Mapping,Breaking the Curse of Multiagency in Robust MARL,exact
126,30,Distributionally Robust MARL for Dynamic Chute Mapping,Robust MARL via Adversarial Regularization,exact
135,1,Robust MARL via Adversarial Domain Randomization for Dual-UAV,Robust MARL with Model Uncertainty,exact
135,98,Robust MARL via Adversarial Domain Randomization for Dual-UAV,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
135,111,Robust MARL via Adversarial Domain Randomization for Dual-UAV,Transferring MARL Policies for Autonomous Driving Sim-to-Real,exact
137,1,Mobility-as-a-Resilience-Service in IoRT via Robust MA DRL,Robust MARL with Model Uncertainty,exact
137,30,Mobility-as-a-Resilience-Service in IoRT via Robust MA DRL,Robust MARL via Adversarial Regularization,exact
137,111,Mobility-as-a-Resilience-Service in IoRT via Robust MA DRL,Transferring MARL Policies for Autonomous Driving Sim-to-Real,exact
137,135,Mobility-as-a-Resilience-Service in IoRT via Robust MA DRL,Robust MARL via Adversarial Domain Randomization for Dual-UAV,exact
141,43,Air Combat Autonomous Maneuver via Robust MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
144,98,Towards Robust Autonomous Cyber Defence Agents (Hybrid AI),Robustness Testing for MARL - State Perturbations on Critical Agents,exact
